Experiment subset: sand-gravel-mud (SGM) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.

						
Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. "SD" denotes the						
standard deviation from the mean.						

t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
0.89	-8.87E-05	0.000452988	-0.000514991	0.004059472	0.003633653	0.015025183
0.9	-7.14E-05	0.000354457	0.000935105	0.008179561	-0.004736165	0.019900007
0.91	-0.000103312	0.000241131	-0.002102551	0.007043427	-0.004200649	0.027362011
0.92	-9.60E-06	0.00025232	0.004015438	0.009993814	0.000145976	0.032038557
0.93	0.000107307	0.000165883	-0.002091762	0.004649591	-0.000798107	0.02007008
0.94	0.000130869	0.000334264	0.002419732	0.012656307	4.82E-05	0.013479984
0.95	1.07E-05	0.000407776	-0.001451287	0.004306825	0.004956213	0.026554228
0.96	-6.17E-06	0.000416567	-0.001496073	0.008122975	-0.00422266	0.012421137
0.97	7.46E-05	0.000283429	0.000450539	0.007009725	0.005097013	0.006255376
0.98	7.35E-07	0.000168059	-0.004204871	0.006153921	-0.007191163	0.011707388
0.99	-4.29E-06	0.000270023	-0.002483053	0.006246661	-0.013219162	0.015234883
1	4.60E-05	0.000285885	-0.002646496	0.01018786	-0.003742344	0.012892431
1.01	-4.52E-05	0.000386649	-0.000769093	0.005814506	0.005737	0.023024013
1.02	-4.71E-05	0.000233794	-0.000643122	0.005054325	0.010308903	0.023409548
1.03	-4.02E-05	7.75E-05	0.002754339	0.004974619	-0.005830946	0.014342738
1.04	-1.42E-05	0.000245776	-0.001312387	0.004826325	0.005669726	0.017088405
1.05	-8.29E-05	0.000239192	0.000415851	0.006169312	0.003838884	0.02322057
1.06	-3.72E-05	0.000169249	0.005069785	0.005000743	0.009843475	0.024402118
1.07	7.45E-05	0.000456699	-0.004848689	0.009007723	0.008242043	0.019919821
1.08	7.66E-05	0.000654631	0.002630071	0.017267921	0.000403357	0.008686279
1.09	-6.15E-05	0.000282765	-0.001372947	0.009299367	0.000260837	0.011306887
1.1	8.79E-05	0.000349086	0.001452118	0.005841169	0.014969715	0.022987759
1.11	8.47E-05	0.000361925	0.000954906	0.008878291	-0.003960741	0.014567101
1.12	0.000114694	0.000346565	-0.002445987	0.006933809	-0.001356731	0.018142024
1.13	0.000249082	0.000453498	0.000472108	0.006383086	-0.009678645	0.018458696
1.14	2.46E-05	0.000214279	-0.003626554	0.006396534	0.014771435	0.030830293
1.15	6.65E-05	0.000277173	-0.000382021	0.009197389	-0.011373137	0.010984993
1.16	0.000195483	0.000256338	-0.000368716	0.005238735	-0.008980946	0.014799603
1.17	8.98E-05	0.000112358	-0.00306648	0.006584967	0.002003294	0.011646562
1.18	-4.22E-05	0.000275766	0.00084135	0.009549504	0.017965166	0.027592993
1.19	-0.00014025	0.000398798	-0.00063109	0.010397776	0.001695129	0.020998023
1.2	-7.66E-05	0.000279982	0.003006769	0.008233911	0.00387056	0.016370533
1.21	-5.35E-05	0.000269714	0.003001186	0.007271436	0.005925502	0.011940151
1.22	-0.000163535	0.00017331	0.004021469	0.007669991	0.020306607	0.022729397
1.23	-0.000161865	0.000309946	0.002401539	0.01589525	0.009720902	0.016683581
1.24	3.38E-05	0.000337271	0.000318057	0.005774221	0.000189934	0.016188579
1.25	-8.10E-05	0.000254792	0.000151003	0.01267503	-0.000997796	0.023885935
1.26	-6.22E-05	0.000384805	0.00093293	0.010205009	0.003247169	0.024464114
1.27	5.68E-05	0.000251257	-0.004730846	0.005867058	0.003212981	0.00588468
1.28	2.50E-05	0.000197584	0.002963285	0.011457678	-0.005864641	0.017276907
1.29	4.32E-05	0.000343505	-0.001580633	0.004288114	0.000972137	0.017765564
1.3	6.06E-05	0.000271956	0.000154804	0.006710846	-0.006155937	0.009430521
1.31	0.000281373	0.000728099	-0.000814223	0.006838086	-0.002373118	0.009062987
1.32	3.94E-06	0.000181217	-0.001847288	0.002283304	0.001549473	0.013943875
1.33	3.54E-05	0.000359396	-0.001338411	0.009335676	-0.000151571	0.012813363
1.34	-8.37E-05	0.000406631	-0.003416954	0.006766282	-0.005108816	0.00974746
1.35	-7.97E-05	0.000330729	-0.001043253	0.006413701	0.002552271	0.022907331
1.36	9.92E-05	0.0002087	0.000164165	0.006151076	-0.001197539	0.010352628
1.37	2.20E-05	0.000350349	-0.001822772	0.003591872	-0.003597831	0.010041163
1.38	6.92E-05	0.000110291	0.000337077	0.008434924	0.001156654	0.015047598
1.39	-5.52E-05	0.000197451	-0.002615261	0.006110198	0.008843643	0.014923095
1.4	-9.31E-05	0.000267142	-0.000861463	0.003242165	0.013271428	0.024315602
1.41	-9.81E-05	0.00034605	-0.000885493	0.003466211	-0.003978037	0.012865897
1.42	-3.89E-05	0.000323935	-0.00034145	0.004944421	0.005739664	0.013806276
1.43	8.04E-05	0.000314473	-0.002881144	0.007377964	-0.00209392	0.014475328
1.44	-0.00011399	0.000266411	0.000232299	0.008296237	-0.002360541	0.010301953
1.45	7.69E-06	0.000176304	-0.002762894	0.007537725	-0.005020561	0.004591992
1.46	0.000128687	0.000242775	-0.001108534	0.00538813	0.0093051	0.016850486
1.47	1.73E-05	0.000210983	-0.002203563	0.008170614	0.00368201	0.018518268
1.48	-0.000503866	0.000480598	-0.004329172	0.002997571	0.01309294	0.031445286
1.49	1.13E-05	0.000669913	-0.004369843	0.007679064	0.001921155	0.022377094
1.5	-4.20E-05	0.000259878	-0.006888944	0.007163778	0.013847249	0.033269245
1.51	-0.000121234	0.000567518	-0.003259428	0.005589904	0.006375808	0.015638739
1.52	4.23E-05	0.000266981	-0.004303119	0.003722397	0.003456141	0.01204167
1.53	0.000114325	0.000243236	-0.002175646	0.004763236	0.0103902	0.02505013
1.54	-1.14E-05	0.000221666	-0.002174077	0.007322618	0.010384104	0.032288756
1.55	-4.37E-05	0.000360559	-0.002549607	0.005400848	0.012768587	0.014701325
1.56	-0.000107804	0.000338478	-0.003101569	0.007612031	0.001975487	0.011255125
1.57	4.47E-05	0.000188376	-0.00088896	0.005876401	0.018693496	0.020645926
1.58	-2.08E-05	0.00018324	-0.0012878	0.004161613	0.010651114	0.025207076
1.59	-1.02E-05	0.00017772	0.001753779	0.006480437	0.012304251	0.024614877
1.6	1.34E-05	0.000195853	0.004407209	0.010237286	0.007273364	0.010269549
1.61	0.000131579	0.000470566	0.001880332	0.007546419	0.016461444	0.014420151
1.62	7.08E-05	0.000306153	0.001102809	0.001447077	0.024039995	0.027732937
1.63	-0.000186779	0.000519197	-0.000685498	0.0089894	0.00450966	0.016123567
1.64	-8.57E-05	0.000267821	-0.002854732	0.005746696	0.008429817	0.034935421
1.65	5.33E-05	0.000208921	0.000488233	0.002909062	0.014302019	0.022099291
1.66	0.000199713	0.00032797	0.000357492	0.004285415	0.001724013	0.006565421
1.67	7.36E-05	0.000320614	-0.003551856	0.003471865	-0.006822701	0.021275986
1.68	-0.000151131	0.000288903	-0.004246609	0.0111936	0.008702186	0.02531458
1.69	0.000239404	0.000613188	-0.007166971	0.00714324	0.004095798	0.016983667
1.7	0.000267215	0.000249129	-0.003251008	0.004703934	0.000717927	0.01139286
1.71	0.000111306	0.000148136	-0.003076598	0.006174978	-0.008725444	0.015516873
1.72	-3.13E-05	0.000313575	0.001296325	0.004586752	0.012332134	0.020851647
1.73	8.17E-06	0.000258701	0.000445141	0.006885947	0.002778403	0.013394429
1.74	3.89E-05	0.000161041	-0.001210193	0.003918093	0.005283973	0.018455435
1.75	2.54E-05	0.000188089	-0.002348351	0.008514772	-0.001765129	0.014389957
1.76	0.000119062	0.000399765	-0.001797365	0.006528555	0.017630142	0.022423947
1.77	-6.76E-06	0.000387061	0.003746363	0.007972768	0.010657025	0.0220699
1.78	2.67E-05	0.000237932	0.002337447	0.006093617	-0.005489681	0.011542078
1.79	0.000112603	0.000573573	0.00158667	0.008501507	-0.000133958	0.01535171
1.8	-0.000100032	0.000250884	0.00145716	0.007657635	0.013188153	0.020955021
1.81	-0.000124854	0.000220269	0.004405595	0.008770672	0.002847525	0.008670065
1.82	-0.000100861	0.000310912	0.000829951	0.009715009	-0.003490981	0.007124571
1.83	-2.53E-05	0.000296907	0.001687698	0.008353009	0.004826843	0.026919328
1.84	-0.000110132	0.00035241	0.002952154	0.007933784	-0.00099478	0.015636542
1.85	-3.78E-05	0.00023812	-0.003029482	0.007061228	0.01486875	0.032698058
1.86	-7.69E-05	0.000461161	-0.003043752	0.007087925	0.004105922	0.031045608
1.87	-3.45E-05	0.000261444	-0.001269755	0.005474323	0.007394693	0.018801482
1.88	1.63E-05	0.000368967	-0.003995506	0.004174266	0.00682941	0.023239003
1.89	4.15E-05	0.000122853	-0.00183449	0.007537492	-0.002099722	0.018818885
1.9	6.41E-05	0.000251525	-0.001955958	0.005981792	0.002466373	0.017027841
1.91	4.84E-05	0.000290726	-0.000372522	0.006406848	0.014209614	0.036518745
1.92	-3.32E-05	0.000438333	0.001710859	0.002889275	0.011827432	0.020559115
1.93	1.77E-05	0.000231712	0.000254043	0.003807812	0.006800348	0.01191482
1.94	0.000140644	0.000305887	0.000717731	0.003699809	0.009883056	0.018130439
1.95	0.000409335	0.000984196	-0.001222815	0.005448044	0.009373115	0.019901482
1.96	0.000108574	0.000209934	3.24E-05	0.003328955	0.010655506	0.014147844
1.97	0.00027499	0.000807219	0.001673955	0.006246608	0.007712394	0.027577136
1.98	6.72E-05	0.000533281	-0.000492199	0.008739764	0.004198117	0.009228463
1.99	-4.97E-06	0.000273423	0.002776068	0.005692112	0.005250849	0.025551322
2	-6.32E-05	0.00034801	0.001525829	0.006301653	0.002574917	0.009077611
2.01	-0.000107728	0.000322636	8.39E-05	0.004118219	0.001552068	0.020783518
2.02	-3.22E-06	0.000271188	0.001157458	0.00765553	-0.000102528	0.021801044
2.03	5.30E-05	0.000247019	0.00317165	0.009813462	0.004768306	0.021315625
2.04	9.86E-05	0.000429198	-0.000100985	0.00696383	-0.001147703	0.016359765
2.05	-0.000111636	0.000393359	0.001387099	0.006359824	0.002287935	0.015853828
2.06	1.35E-05	0.000237233	0.003769539	0.00562834	-0.000175694	0.018889326
2.07	-8.26E-05	0.000307595	0.00041249	0.007967364	0.004499464	0.015493523
2.08	-6.29E-05	0.000293704	-0.000854759	0.005881313	-0.000504791	0.007477512
2.09	-0.000112517	0.00024607	-0.001035222	0.007438267	0.000225745	0.012078771
2.1	-0.000123077	0.000177539	0.000775321	0.005330327	-0.000752076	0.017502191
2.11	3.89E-05	0.000402069	-0.000680527	0.004808088	0.008847448	0.008991032
2.12	-0.00013945	0.000282318	0.002274027	0.006683027	0.004120881	0.017134795
2.13	4.76E-05	0.000348056	-0.001061261	0.008581023	0.007849946	0.013154372
2.14	0.000120692	0.000213576	-0.000908987	0.004227026	0.001466848	0.015454811
2.15	6.78E-05	0.000281834	0.000855348	0.00769843	0.013628815	0.027808551
2.16	7.59E-05	0.000405507	-0.00049414	0.006187217	0.015548224	0.022928755
2.17	0.000368437	0.000726157	0.002162482	0.007781386	0.016680444	0.025206649
2.18	0.000167436	0.000534162	0.003194425	0.006634903	0.032068089	0.052913202
2.19	2.30E-05	0.000158162	0.00114434	0.006017076	0.003896073	0.010249974
2.2	0.000156824	0.000230279	0.002603664	0.009779653	-0.006099452	0.037298272
2.21	0.000104358	0.000459533	0.00193335	0.005210048	0.00401384	0.018488674
2.22	9.50E-05	0.00032162	0.000718501	0.004619371	-0.008836895	0.009494417
2.23	-3.91E-05	0.000176737	-0.00167787	0.007563964	-0.005476516	0.012307352
2.24	-3.39E-05	0.000199555	-0.00463127	0.005389938	0.004622951	0.013548997
2.25	3.99E-05	0.000171369	-0.00445625	0.005374705	0.004584219	0.024275
2.26	-0.000145663	0.000306723	-0.001802887	0.007042883	-0.001308375	0.008562252
2.27	2.36E-05	0.000325042	0.000439968	0.007533585	-0.00823603	0.019299872
2.28	8.38E-05	0.000318692	-0.002790805	0.006188803	0.007236845	0.013690534
2.29	-2.12E-05	0.000249362	0.000333043	0.005523664	0.014021216	0.01289143
2.3	9.11E-05	0.000349524	0.000443383	0.004494582	0.005715796	0.013011079
2.31	-6.99E-05	0.000282626	0.000443497	0.004048878	-0.006350924	0.01647718
2.32	5.31E-05	0.00019536	-0.000992521	0.005919776	0.003216511	0.019207884
2.33	-4.30E-06	0.00029441	-0.00138025	0.007800326	0.006749538	0.025652348
2.34	-4.05E-06	0.000253422	-0.001048305	0.007317588	0.006508015	0.012275833
2.35	-4.40E-05	0.000259132	0.001499391	0.00928324	-0.000191719	0.017111249
2.36	-3.22E-05	0.000197533	0.00404189	0.009634389	0.004326695	0.008903271
2.37	1.46E-05	0.000126424	0.002860214	0.007635206	-0.000182685	0.011359161
2.38	-1.51E-05	0.000304176	0.001635954	0.007344244	0.009194047	0.013404355
2.39	1.89E-05	0.000228987	-0.001460145	0.008055942	-0.003063492	0.012762948
2.4	-2.72E-05	0.000228413	-0.003519077	0.005283498	-0.008124096	0.021879019
2.41	2.25E-05	0.000278045	-0.000111849	0.005013977	-0.003598809	0.011661618
2.42	-0.00012161	0.000316073	-0.00140521	0.006342885	0.005866539	0.011993809
2.43	-6.99E-05	0.000268538	-0.00106288	0.003559013	-0.000732663	0.015020656
2.44	-2.12E-05	0.000161935	-0.003064455	0.006847618	-0.011433011	0.026200521
2.45	8.19E-06	0.000179897	0.003024282	0.005527262	-0.002302253	0.007718307
2.46	-9.39E-05	0.000288603	-0.003878581	0.00551847	0.009573445	0.022310338
2.47	-5.67E-05	0.000253468	-0.005448403	0.003565608	0.003687098	0.016427255
2.48	-3.59E-06	0.000408988	-0.004670281	0.006462554	-0.001312196	0.018327423
2.49	-0.000122614	0.000222812	0.002042291	0.005885582	0.00359958	0.022001404
2.5	1.99E-05	0.000493005	0.000561083	0.007452732	0.011152637	0.020652442
2.51	7.09E-05	0.000346113	0.00222239	0.00603227	0.012610205	0.025451811
2.52	8.36E-05	0.00041856	0.00349505	0.004039948	0.009049148	0.019862046
2.53	-4.37E-05	0.000278236	0.000179872	0.003823772	0.005825364	0.01898947
2.54	-1.02E-05	0.000406313	0.000718481	0.004597115	0.006592598	0.012030276
2.55	-4.02E-05	0.00031236	9.41E-05	0.005470037	0.012297198	0.03587354
