Experiment subset: sand-gravel (SG) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.				


Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. ""SD"" denotes the 						
standard deviation from the mean. 						
						
t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
1.13	-7.76798E-05	0.000395326	-0.00027771	0.007655586	0.000733674	0.022781237
1.14	-8.15327E-05	0.00036776	-0.002240551	0.004419991	-0.002121738	0.019241407
1.15	-1.62568E-05	0.000165084	0.001026156	0.003235887	-0.013058882	0.040367768
1.16	8.09686E-05	0.000301043	-0.005672746	0.005234456	-0.002263905	0.019166497
1.17	-9.49468E-05	0.000214375	-0.000433838	0.008901846	-0.005875817	0.015524197
1.18	-0.000134872	0.000252872	-0.002176347	0.005219464	0.014966303	0.043345004
1.19	-6.66171E-05	0.000232066	-0.006729103	0.02314477	-0.001598915	0.014045321
1.2	-0.000146896	0.000318405	-0.002034008	0.005823306	-0.003667119	0.021834791
1.21	-3.25567E-05	0.000456165	-0.001645554	0.007329081	-0.000803423	0.014950493
1.22	-0.000175508	0.000324848	0.000514862	0.010018871	-0.013222378	0.027758342
1.23	0.000250361	0.000235466	0.001984881	0.007728686	0.004378524	0.015374685
1.24	0.000154317	0.000258727	0.002043566	0.005481419	-0.007897426	0.012954343
1.25	-1.06185E-05	0.000209496	0.000803223	0.004324336	-0.006547513	0.011524024
1.26	-0.000113923	0.000382029	0.000655334	0.004064993	-0.000463283	0.011351958
1.27	-4.69224E-05	0.00034847	0.001284844	0.011974594	0.007302502	0.021008781
1.28	-7.59125E-05	0.000238051	0.003157087	0.008481169	0.004029942	0.009349223
1.29	7.52054E-06	0.000459364	0.003000836	0.007407735	0.005152032	0.006658656
1.3	9.3046E-06	0.000282172	0.000748197	0.004311894	-0.013415016	0.019004323
1.31	-5.80416E-06	0.000251983	0.001398041	0.007050862	-0.0128491	0.049429922
1.32	-5.19164E-05	0.000196852	-0.001716855	0.011882851	-0.000681607	0.026615909
