Experiment subset: sand-gravel (SG) on smooth bed
Data tables for cross sections at x= 2, 32, and 66 m are listed in succession below,
separated by blank lines and headers.

		
Cross section: x = 2 m		
Column Headings: t is the time since gate release. h is the mean flow thickness.		
SD denotes the standard deviation from the mean.		

t(s)	h(m)		SD h(m)
7.0585	-0.041613935	0.072748814
7.0685	-0.041426074	0.073249058
7.0785	-0.040747617	0.073383277
7.0885	-0.039278119	0.06893013
7.0985	-0.038885848	0.06354161
7.1085	-0.038672348	0.060413603
7.1185	-0.038848556	0.058627214
7.1285	-0.039241185	0.0570745
7.1385	-0.039590487	0.056465229
7.1485	-0.040152941	0.055963886
7.1585	-0.040399226	0.05565714
7.1685	-0.037162728	0.053611789
7.1785	-0.03442049	0.04639946
7.1885	-0.033611543	0.042723793
7.1985	-0.033316792	0.041236837
7.2085	-0.032826372	0.039918411
7.2185	-0.032589673	0.038965561
7.2285	-0.031018182	0.039069921
7.2385	-0.031178043	0.038464928
7.2485	-0.02917594	0.038009063
7.2585	-0.029443888	0.037503613
7.2685	-0.028996327	0.037041476
7.2785	-0.029020269	0.036914385
7.2885	-0.029044461	0.036900164
7.2985	-0.026629495	0.035380518
7.3085	-0.024515345	0.034129371
7.3185	-0.024093939	0.032296012
7.3285	-0.023785751	0.031995153
7.3385	-0.023205436	0.032291242
7.3485	-0.023093522	0.032422383
7.3585	-0.02311692	0.032145541
7.3685	-0.023196054	0.032235517
7.3785	-0.023213636	0.033535247
7.3885	-0.022289926	0.033896051
7.3985	-0.020211882	0.032622788
7.4085	-0.020980906	0.033147541
7.4185	-0.021673923	0.033594688
7.4285	-0.022007952	0.033594775
7.4385	-0.021902783	0.033850734
7.4485	-0.02130755	0.034868999
7.4585	-0.021211379	0.034082125
7.4685	-0.021932526	0.033800621
7.4785	-0.021462557	0.034422974
7.4885	-0.021209799	0.035071575
7.4985	-0.022215896	0.034723709
7.5085	-0.022631308	0.034548828
7.5185	-0.023857358	0.034557714
7.5285	-0.025427187	0.033563224
7.5385	-0.025940584	0.034372228
7.5485	-0.025981928	0.034775842
7.5585	-0.026976178	0.034791871
7.5685	-0.027571591	0.034857785
7.5785	-0.026938516	0.032179833
7.5885	-0.024673806	0.028581436
7.5985	-0.023268961	0.026686966
7.6085	-0.022487865	0.025700467
7.6185	-0.021642226	0.025329272
7.6285	-0.021109837	0.025274187
7.6385	-0.021494283	0.025231771
7.6485	-0.021739213	0.024702084
7.6585	-0.02098956	0.025473225
7.6685	-0.019226882	0.024539269
7.6785	-0.018835536	0.023047031
7.6885	-0.017471209	0.021911243
7.6985	-0.018126603	0.021917168
7.7085	-0.018285743	0.021758577
7.7185	-0.018221928	0.022040313
7.7285	-0.017447711	0.023296791
7.7385	-0.01845648	0.023186575
7.7485	-0.018862902	0.023597718
7.7585	-0.017997138	0.025111975
7.7685	-0.018175642	0.025309378
7.7785	-0.017842414	0.026107501
7.7885	-0.017592797	0.027062836
7.7985	-0.01666126	0.028778884
7.8085	-0.017337963	0.027768551
7.8185	-0.017242197	0.026836737
7.8285	-0.017772982	0.027059858
7.8385	-0.018659691	0.026577459
7.8485	-0.01827657	0.027587909
